customerid,name,age,purchaseamount,country,date,age_group,purchase_category
40,Mable Windybank,64,1688.04,Sweden,2021-06-02,Senior,VIP
41,Alaric Hazelgrove,56,2471.76,Philippines,2019-04-09,Senior,VIP
42,Fidole Banke,29,1964.34,Malaysia,2024-08-13,Young Adult,VIP
43,Nate Frandsen,85,2508.3,United States,2019-01-04,Senior,VIP
44,Tristam Brearton,3,2667.08,China,2021-12-08,Teen,VIP
45,Karel Baynton,28,4255.69,Dominican Republic,2022-07-10,Young Adult,VIP
46,Ronald Gummie,21,4170.72,Czech Republic,2024-04-08,Young Adult,VIP
47,Cornell Kabos,69,862.87,Indonesia,2020-08-13,Senior,High
48,Antonio Odd,28,2542.25,Russia,2022-03-15,Young Adult,VIP
49,Darelle McKeighen,79,2518.72,Portugal,2019-01-02,Senior,VIP
50,Alva Laurent,66,1383.51,Poland,2024-09-13,Senior,VIP
51,Cassondra Kemmett,66,52.9,Kenya,2019-11-13,Senior,Low
52,Arabelle Jodlowski,62,3512.27,Indonesia,2025-05-26,Senior,VIP
53,Ethelbert Matovic,85,3106.52,Venezuela,2024-11-23,Senior,VIP
54,Rip Lovick,87,1487.43,China,2022-05-12,Senior,VIP
55,Nichole Windaybank,98,2019.7,Philippines,2023-10-07,Senior,VIP
56,Kati Swendell,46,2329.13,China,2023-12-04,Adult,VIP
57,Etan Assad,26,3035.94,Greece,2022-02-17,Young Adult,VIP
58,Gideon Swadlen,85,3351.67,United States,2025-05-28,Senior,VIP
59,Stanford Toffler,10,1074.97,Indonesia,2022-09-25,Teen,VIP
60,Parrnell Ballingal,72,1858.2,Croatia,2020-08-31,Senior,VIP
61,Dud Mongeot,86,3361.49,Portugal,2020-10-09,Senior,VIP
62,Gerti Po,56,4956.11,China,2025-10-29,Senior,VIP
63,Wernher Gillhespy,100,518.85,Bolivia,2023-06-25,Senior,High
64,Davin Ranklin,5,21.88,China,2024-03-30,Teen,Low
65,Florella O'Neil,59,84.3,Indonesia,2021-03-18,Senior,Low
66,Crawford Corse,32,3256.43,Afghanistan,2024-09-27,Young Adult,VIP
67,Osgood Bartul,26,2575.11,Yemen,2020-12-14,Young Adult,VIP
68,Dalis Hughesdon,31,1623.07,Russia,2025-02-15,Young Adult,VIP
69,Umberto Hutsby,24,694.27,France,2023-07-20,Young Adult,High
70,Lamont Wetton,12,45.28,Tunisia,2020-09-16,Teen,Low
71,Jarvis Jotcham,60,307.97,France,2025-08-30,Senior,Medium
72,Delainey Benedito,1,318.76,Sweden,2022-06-04,Teen,Medium
73,Kimberlyn Sotham,29,1010.63,Philippines,2024-11-02,Young Adult,VIP
74,Kane Gostall,23,2488.41,France,2024-02-25,Young Adult,VIP
75,Eartha Ridehalgh,5,3902.78,Greece,2021-01-13,Teen,VIP
76,Worthington Siburn,60,2326.95,United States,2025-12-20,Senior,VIP
77,Bern Blackborow,47,3596.42,Belarus,2022-06-22,Adult,VIP
78,Fitz Faccini,16,628.6,Brazil,2019-05-18,Teen,High
79,Avis Ambler,17,3205.16,Russia,2020-07-06,Teen,VIP
80,Reiko Filippi,67,1814.05,China,2020-04-27,Senior,VIP
81,Anett Finessy,34,2431.79,Sweden,2020-06-02,Young Adult,VIP
82,Lawrence Cornehl,1,1626.14,Poland,2024-05-12,Teen,VIP
83,Candida Readwood,91,679.15,Thailand,2020-05-02,Senior,High
84,Keefer Domenici,6,2507.0,Peru,2025-05-22,Teen,VIP
85,Bellanca Weild,32,4229.74,Indonesia,2025-12-21,Young Adult,VIP
86,Oren Loughman,30,4073.22,Ukraine,2019-10-27,Young Adult,VIP
87,Del Conradie,42,300.72,Ukraine,2025-04-20,Adult,Medium
88,Terrance Breadmore,99,4572.41,Latvia,2023-12-09,Senior,VIP
89,Atlanta Skirving,61,3061.47,Czech Republic,2023-02-25,Senior,VIP
90,Killie Feasley,11,2674.0,Jamaica,2021-04-01,Teen,VIP
91,Dione Eick,62,3404.11,Indonesia,2025-10-27,Senior,VIP
92,Katherine Fenners,67,2306.13,Greece,2022-05-23,Senior,VIP
93,Colman D'orsay,97,3915.62,Madagascar,2019-08-11,Senior,VIP
94,Teador Baynom,86,3119.15,Palestinian Territory,2019-06-28,Senior,VIP
95,Thornton Maypowder,63,3986.17,United States,2024-08-12,Senior,VIP
96,Robinet Sambals,16,3048.11,Portugal,2021-09-08,Teen,VIP
97,Andris Blindmann,97,2883.36,Philippines,2025-02-26,Senior,VIP
98,Lucia Joberne,6,1497.75,Greece,2025-08-30,Teen,VIP
99,Jerri Loughnan,51,3959.02,Brazil,2020-01-20,Senior,VIP
100,Electra Radeliffe,70,4553.5,China,2019-02-06,Senior,VIP
101,Honey Beach,6,764.37,Thailand,2020-11-02,Teen,High
102,Sibeal Kisar,30,3861.25,Brazil,2025-10-14,Young Adult,VIP
103,Lilia Downton,6,2359.29,Afghanistan,2023-02-27,Teen,VIP
104,Vivia Giraldez,38,1002.32,Solomon Islands,2021-07-04,Adult,VIP
105,Pryce Sich,82,313.52,China,2024-11-19,Senior,Medium
106,Bambi Bradnum,91,2559.83,Indonesia,2023-02-01,Senior,VIP
107,Natividad Drust,93,4805.05,Japan,2023-06-02,Senior,VIP
108,Bethanne De Roos,65,1827.29,China,2022-02-20,Senior,VIP
109,Merrick Giametti,85,1937.43,Syria,2025-04-29,Senior,VIP
110,Natty Crickmer,97,4951.01,Russia,2019-12-07,Senior,VIP
111,Othella Mogie,21,4613.46,United States,2019-11-09,Young Adult,VIP
112,Gabie Bridgnell,59,1606.69,China,2025-02-22,Senior,VIP
113,Whitman Kersey,69,1551.11,Indonesia,2024-08-03,Senior,VIP
114,Deerdre Davidofski,31,4618.92,Morocco,2021-06-11,Young Adult,VIP
115,Jeanine Gowdie,35,1872.98,Guatemala,2025-12-28,Young Adult,VIP
116,Janice Trevaskiss,44,3426.29,Portugal,2021-10-06,Adult,VIP
117,Ximenez Daldry,54,1738.35,Egypt,2021-05-01,Senior,VIP
118,Davida Meeland,35,467.7,Canada,2025-11-08,Young Adult,Medium
119,Tulley Blacklock,35,1363.13,Denmark,2022-07-17,Young Adult,VIP
120,Marcello Antram,87,4135.4,Argentina,2019-04-14,Senior,VIP
121,Tonie Hebblethwaite,37,4249.7,Poland,2022-12-19,Adult,VIP
122,Quillan Bulbeck,48,2581.31,China,2022-10-04,Adult,VIP
123,Gregoire Doudney,69,2064.67,Bhutan,2020-08-09,Senior,VIP
124,Valera Duckels,66,3225.55,China,2024-11-22,Senior,VIP
125,Hartley Strelitz,76,2951.46,Venezuela,2022-06-30,Senior,VIP
126,Crawford Penquet,72,4789.45,Germany,2019-10-22,Senior,VIP
127,Myrtia Plumley,34,3304.31,Indonesia,2021-11-09,Young Adult,VIP
128,Hilliary Cloutt,89,4870.29,Philippines,2024-10-03,Senior,VIP
129,Bunny Blannin,36,274.51,China,2020-12-10,Adult,Medium
130,Katrina Galtone,35,3850.16,Croatia,2024-07-21,Young Adult,VIP
131,Rickert Garthland,33,4609.69,Russia,2023-10-26,Young Adult,VIP
132,Joelly Dewer,72,4877.88,Colombia,2022-12-01,Senior,VIP
133,Zondra Cogdell,30,3515.46,Poland,2024-08-21,Young Adult,VIP
134,Georgianne Allder,47,1439.38,Macedonia,2023-03-21,Adult,VIP
135,Johnette Guthrie,47,4494.93,Russia,2024-01-30,Adult,VIP
136,Zeb Maymond,62,2655.11,Peru,2022-05-14,Senior,VIP
137,Lonnard Naisbet,49,152.29,Indonesia,2019-10-08,Adult,Medium
138,Bat Sorrill,58,2905.57,United States,2024-07-22,Senior,VIP
139,Hodge Annandale,2,4774.78,Canada,2023-04-13,Teen,VIP
140,Isabelle Osborn,93,3032.61,Italy,2019-01-19,Senior,VIP
141,Joli Popplewell,56,4880.89,China,2023-09-07,Senior,VIP
142,Frayda Blakeston,42,2106.38,North Korea,2021-05-29,Adult,VIP
143,Gallagher Plumm,34,2137.4,China,2021-05-09,Young Adult,VIP
144,Nicholas McIlmurray,77,1156.92,United States,2025-02-04,Senior,VIP
145,Justinian Scoon,23,2558.61,Russia,2019-02-20,Young Adult,VIP
146,Decca Jeffrey,40,3106.95,Palestinian Territory,2024-11-05,Adult,VIP
147,Krystyna Bruckmann,48,1634.24,Philippines,2023-08-05,Adult,VIP
148,Ettore Everal,17,556.18,Poland,2025-04-08,Teen,High
149,Frazier Garrettson,16,3188.19,Indonesia,2024-03-14,Teen,VIP
150,Jedidiah Ceillier,89,519.99,China,2025-06-14,Senior,High
151,Freeland Fudger,15,3151.86,Czech Republic,2020-11-21,Teen,VIP
152,Red June,47,53.02,Brazil,2022-09-16,Adult,Low
153,Benoite Vockins,94,2411.86,Indonesia,2022-08-09,Senior,VIP
154,Cloris Stuckey,91,4316.56,Sudan,2020-02-09,Senior,VIP
155,Elvis Hurdis,33,1874.83,Chad,2020-02-01,Young Adult,VIP
156,Skipper Varley,35,4042.28,Poland,2019-09-03,Young Adult,VIP
157,Belita MacKee,78,2439.0,Russia,2023-06-30,Senior,VIP
158,Nels Wrinch,33,408.6,China,2021-02-18,Young Adult,Medium
159,Mycah Bim,49,1879.52,Norway,2025-09-12,Adult,VIP
160,Miranda Gregorace,52,4266.79,Czech Republic,2022-08-22,Senior,VIP
161,Marja Boyd,4,4508.96,Greece,2020-02-11,Teen,VIP
162,Aggie Danis,21,3414.04,Argentina,2022-08-01,Young Adult,VIP
163,Abran Waylen,49,2604.51,China,2020-02-07,Adult,VIP
164,Frank Corstan,2,2769.71,Portugal,2023-10-28,Teen,VIP
165,Nady Yglesias,86,1629.39,France,2019-05-10,Senior,VIP
166,Karie Burbudge,48,1104.74,Indonesia,2022-01-11,Adult,VIP
167,Lilia Reinmar,99,3253.18,Morocco,2019-11-09,Senior,VIP
168,Bartolomeo Richard,83,4173.92,Micronesia,2021-06-09,Senior,VIP
169,Bab D'Alwis,74,4032.7,China,2023-06-06,Senior,VIP
170,Benedicta Prettyjohns,43,3879.94,United States,2022-07-09,Adult,VIP
171,Artemus Mompesson,70,4239.9,Greece,2025-10-16,Senior,VIP
172,Elisabetta Dales,25,2959.73,Sweden,2022-10-23,Young Adult,VIP
173,Buck Busher,4,1813.4,Colombia,2025-04-16,Teen,VIP
174,Evelina Coyte,80,2002.0,China,2024-11-08,Senior,VIP
175,Madalyn Pattesall,94,2280.26,Russia,2025-08-23,Senior,VIP
176,Muffin Thunnercliff,96,3193.0,China,2024-11-28,Senior,VIP
177,Consuela Trout,60,4285.88,Honduras,2021-05-02,Senior,VIP
178,Calvin Calcut,41,4407.52,China,2024-06-09,Adult,VIP
179,Bryant Hexter,69,1414.46,Portugal,2021-08-05,Senior,VIP
180,Sapphira Pain,20,765.84,China,2025-04-18,Young Adult,High
181,Pierce Joburn,78,3259.26,Portugal,2024-04-23,Senior,VIP
182,Irwinn Walford,52,3535.78,North Korea,2025-10-21,Senior,VIP
183,Jami Salla,86,1494.32,Croatia,2025-05-06,Senior,VIP
184,Hailee Climer,60,438.11,France,2022-09-01,Senior,Medium
185,Corrine Deschelle,80,4041.79,Finland,2019-12-03,Senior,VIP
186,Blake Willans,20,335.89,Dominican Republic,2022-11-08,Young Adult,Medium
187,Thatcher Ledstone,46,1253.27,Ukraine,2020-01-07,Adult,VIP
188,Aldis Marson,27,1641.45,China,2020-08-04,Young Adult,VIP
189,Jasen Colerick,56,1369.55,United States,2022-04-16,Senior,VIP
190,Corbin Sumnall,84,4588.98,Finland,2019-05-25,Senior,VIP
191,Hobard Williams,15,1028.86,Germany,2023-12-18,Teen,VIP
192,Orlan Mulhall,56,131.88,Indonesia,2023-09-28,Senior,Medium
193,Winifred Dreher,12,3530.3,Belarus,2023-02-24,Teen,VIP
194,Emmalee Hankins,18,315.68,China,2019-05-20,Teen,Medium
195,Chiquia Tussaine,62,301.43,Finland,2021-05-24,Senior,Medium
196,Pauletta Skates,11,2048.81,Czech Republic,2023-05-29,Teen,VIP
197,Saunderson Lightbowne,34,685.66,Russia,2024-01-10,Young Adult,High
198,Alie Mattia,77,2920.22,Czech Republic,2019-11-11,Senior,VIP
199,Uta Douglas,19,3489.29,Czech Republic,2021-12-15,Young Adult,VIP
200,Brandi McLafferty,17,4724.57,Honduras,2021-01-11,Teen,VIP
201,Ashely Hubber,47,2336.37,Sweden,2025-03-12,Adult,VIP
202,Normie Smithson,43,3404.76,Peru,2021-08-03,Adult,VIP
203,Christoffer Liepina,89,4047.03,Indonesia,2022-01-31,Senior,VIP
204,Rorke Branston,20,712.79,Belarus,2022-06-05,Young Adult,High
205,Dorise Shewring,16,3509.88,Madagascar,2025-10-24,Teen,VIP
206,Bartlet Wager,99,1090.0,Morocco,2019-01-26,Senior,VIP
207,Cathi Gregory,88,703.4,Indonesia,2019-03-17,Senior,High
208,Sanders Maccaig,97,1350.47,France,2023-01-01,Senior,VIP
209,Perice Rosnau,22,1789.41,Morocco,2025-07-20,Young Adult,VIP
210,Carree Armin,5,4613.39,Indonesia,2021-03-13,Teen,VIP
211,Sile Daggett,9,2896.17,China,2022-01-30,Teen,VIP
212,Bennett Attarge,51,2302.27,Venezuela,2024-08-29,Senior,VIP
213,Parry Waterdrinker,81,306.33,China,2022-01-27,Senior,Medium
214,Wait Burchatt,9,489.48,Indonesia,2024-04-20,Teen,Medium
215,Illa McGuane,87,3983.14,Slovenia,2023-11-27,Senior,VIP
216,Gus Northgraves,27,2579.41,New Zealand,2023-08-30,Young Adult,VIP
217,Meriel Smithson,100,2858.4,Senegal,2025-05-02,Senior,VIP
218,Quill Levett,9,4574.89,China,2022-11-27,Teen,VIP
219,Edmon Arndtsen,68,3562.26,Argentina,2021-07-23,Senior,VIP
220,Nathalie Botger,65,3774.14,Czech Republic,2023-01-06,Senior,VIP
221,Case Morshead,98,1809.74,Sweden,2025-03-09,Senior,VIP
222,Bart Haddy,45,4726.81,Indonesia,2022-04-26,Adult,VIP
223,Sibeal Dwelly,25,1173.7,Peru,2024-11-30,Young Adult,VIP
224,Yance Cullotey,95,3572.66,Brazil,2022-02-08,Senior,VIP
225,Conny Heeks,62,943.49,China,2020-08-12,Senior,High
226,Mady Humbatch,62,3515.8,China,2019-04-01,Senior,VIP
227,Dareen Bruckenthal,8,4748.75,Kazakhstan,2021-07-16,Teen,VIP
228,Karlene Elles,36,2108.51,Albania,2022-04-28,Adult,VIP
229,Adriena Ferrucci,2,3928.57,Mexico,2025-12-12,Teen,VIP
230,Magda Minifie,89,997.37,Indonesia,2022-06-30,Senior,High
231,Chelsie Meyer,88,1778.95,China,2022-03-27,Senior,VIP
232,Carley Navarre,12,4293.09,Brazil,2019-03-11,Teen,VIP
233,Brittne Myall,81,3031.98,Albania,2024-04-14,Senior,VIP
234,Happy Sabater,88,2718.41,United States,2021-04-25,Senior,VIP
235,Anatollo Harrap,95,3367.52,China,2022-07-31,Senior,VIP
236,Mariejeanne Whiten,89,1034.73,Democratic Republic of the Congo,2022-09-06,Senior,VIP
237,Bobbye Blevin,36,3973.27,Iran,2019-06-18,Adult,VIP
238,Chanda Britch,1,1195.2,Indonesia,2021-06-30,Teen,VIP
239,Sher Schellig,72,538.73,Japan,2023-08-14,Senior,High
240,Kylynn Pickthorn,100,3658.1,Peru,2019-04-23,Senior,VIP
241,Iorgos Ciepluch,12,705.87,Poland,2023-07-12,Teen,High
242,Pam Baskeyfied,43,3765.46,United States,2021-01-20,Adult,VIP
243,Lucas Warne,19,747.23,United States,2019-10-23,Young Adult,High
244,Everard Dykas,82,3929.89,Poland,2025-07-03,Senior,VIP
245,Elyn Kendall,35,2173.41,Albania,2023-08-25,Young Adult,VIP
246,Bill Bearward,53,1459.74,Zimbabwe,2025-08-04,Senior,VIP
247,Barbe Matzaitis,12,783.17,Russia,2025-02-17,Teen,High
248,Aldric Lafontaine,70,4574.52,Pakistan,2022-04-03,Senior,VIP
249,Taber Tresler,75,3756.46,Malaysia,2022-08-29,Senior,VIP
250,Janean Hickenbottom,67,2167.83,United States,2021-01-23,Senior,VIP
251,Devlin Mizzen,100,1310.61,China,2024-03-31,Senior,VIP
252,Rickard Burfield,8,3818.92,Peru,2021-04-25,Teen,VIP
253,Georgena Cassin,68,2236.65,Poland,2024-09-12,Senior,VIP
254,Staffard Jamrowicz,99,1936.63,Palestinian Territory,2021-01-19,Senior,VIP
255,Marline Petrelli,98,3660.98,Sweden,2023-05-30,Senior,VIP
256,Hillery Nason,31,1323.38,Brazil,2019-10-23,Young Adult,VIP
257,Nikoletta Furtado,34,1929.37,Indonesia,2021-12-01,Young Adult,VIP
258,Theodore Houlson,94,1078.74,Indonesia,2020-07-18,Senior,VIP
259,Harmony Potkins,77,114.55,Russia,2022-02-25,Senior,Medium
260,Tamas Beyer,27,4316.29,China,2020-08-22,Young Adult,VIP
261,Valina Gaitskell,40,4811.48,Thailand,2022-11-22,Adult,VIP
262,Dorella Georgiev,64,1342.67,Indonesia,2025-01-24,Senior,VIP
263,Ilyse Mcwhinnie,41,557.17,Germany,2024-06-12,Adult,High
264,Paulo Earsman,67,719.5,Brazil,2025-04-19,Senior,High
265,Evey McGrorty,29,1479.12,Russia,2021-09-13,Young Adult,VIP
266,Bert Troman,16,3087.33,Japan,2019-12-21,Teen,VIP
267,Wendeline Avarne,33,2272.33,Oman,2022-06-12,Young Adult,VIP
268,Laurella Carroll,35,546.4,Brazil,2024-10-16,Young Adult,High
269,Feodora Lashbrook,6,23.59,Colombia,2025-02-16,Teen,Low
270,Vikki Biggerstaff,54,386.54,United States,2024-02-23,Senior,Medium
271,Stacia Shury,37,3542.09,Malaysia,2025-08-20,Adult,VIP
272,Keir Chamberlin,99,3970.9,Jordan,2022-08-18,Senior,VIP
273,Sanford Trownson,10,4985.68,China,2025-05-02,Teen,VIP
274,Erie Capelen,85,2231.49,Indonesia,2025-04-06,Senior,VIP
275,Joeann Gilbertson,94,152.76,Mexico,2019-09-22,Senior,Medium
276,Serge Lismer,77,4169.32,Indonesia,2023-04-22,Senior,VIP
277,Katharina Feldberg,79,3435.14,France,2025-09-08,Senior,VIP
278,Marika Danson,83,874.87,Poland,2025-06-11,Senior,High
279,Hy Coker,1,4665.67,Indonesia,2020-10-16,Teen,VIP
280,Augusta Boobier,20,4778.13,Poland,2021-07-08,Young Adult,VIP
281,Morie Clevely,78,4468.5,Czech Republic,2024-10-11,Senior,VIP
282,Roderic MacCallum,51,2463.35,Nigeria,2020-02-25,Senior,VIP
283,Moses Sargood,33,2888.59,Czech Republic,2019-09-30,Young Adult,VIP
284,Sashenka Simpkiss,44,2917.19,Portugal,2025-07-08,Adult,VIP
285,Farlee Farrey,22,4650.47,Philippines,2021-07-11,Young Adult,VIP
286,Francine Yann,26,970.3,Indonesia,2021-08-12,Young Adult,High
287,Jasmin Penhalewick,58,3407.17,China,2023-12-27,Senior,VIP
288,Agosto Diehn,53,1511.19,Finland,2023-07-09,Senior,VIP
289,Ynez McGinty,65,2484.11,Armenia,2021-09-10,Senior,VIP
290,Thedrick Ximenez,61,965.71,Comoros,2020-06-06,Senior,High
291,Millisent Kettles,63,2185.28,Kazakhstan,2023-08-31,Senior,VIP
292,Hana Simmen,86,4757.44,Indonesia,2020-05-03,Senior,VIP
293,Trey Flanagan,58,4674.71,China,2025-07-05,Senior,VIP
294,Waldon Lewsey,29,1903.32,Indonesia,2021-02-15,Young Adult,VIP
295,Gavin Brighouse,8,3913.69,France,2022-08-11,Teen,VIP
296,Juliann Lunnon,99,3484.13,Russia,2025-04-23,Senior,VIP
297,Bird Kermeen,69,3302.69,Azerbaijan,2022-08-07,Senior,VIP
298,Alicia Kleinfeld,83,1235.82,Poland,2023-07-21,Senior,VIP
299,Lian Shottin,2,1540.84,Kenya,2025-03-26,Teen,VIP
300,Nobe McSperrin,93,233.43,Albania,2024-12-31,Senior,Medium
301,Corabel Adamou,91,1758.67,Poland,2021-05-14,Senior,VIP
302,Isa Dupree,70,3470.2,Morocco,2022-06-20,Senior,VIP
303,Harbert Syrett,95,3076.05,China,2021-05-31,Senior,VIP
304,Sheelah Guidini,10,4442.09,Brazil,2022-02-22,Teen,VIP
305,Cristin Wadge,66,2713.02,Portugal,2022-09-29,Senior,VIP
306,Sena Humbert,83,2810.78,Indonesia,2021-11-24,Senior,VIP
307,Collete Guerriero,62,4819.12,Portugal,2021-02-18,Senior,VIP
308,Jobie Dahlman,99,4771.46,Chile,2021-12-10,Senior,VIP
309,Kareem Huitt,9,3259.1,Russia,2019-03-11,Teen,VIP
310,Steward Scrase,6,2542.95,China,2025-09-12,Teen,VIP
311,Cornelia Deery,33,4187.48,Latvia,2021-04-20,Young Adult,VIP
312,Dena Backson,100,4950.4,Guatemala,2021-08-20,Senior,VIP
313,Sergeant Philippe,67,1247.94,France,2020-02-29,Senior,VIP
314,Malia Bagenal,27,1262.05,Israel,2025-01-20,Young Adult,VIP
315,Carline Carlett,1,1875.17,Guatemala,2022-11-15,Teen,VIP
316,Ciro Slyne,96,3072.15,Philippines,2022-12-25,Senior,VIP
317,Karia Tangye,46,3541.03,Belarus,2022-10-12,Adult,VIP
318,Vic Huc,40,2771.67,Palestinian Territory,2022-09-08,Adult,VIP
319,Alverta Whitebrook,37,3878.7,China,2020-09-29,Adult,VIP
320,Jermaine Dyte,60,2197.85,South Sudan,2022-02-23,Senior,VIP
321,Gherardo Dryden,4,2596.56,Peru,2025-03-29,Teen,VIP
322,Meryl Haresnaip,33,4962.38,Pakistan,2021-10-22,Young Adult,VIP
323,Cilka Dorber,14,1989.68,Finland,2025-04-27,Teen,VIP
324,Cristobal Craufurd,100,2735.85,Marshall Islands,2020-12-26,Senior,VIP
325,Zuzana Troutbeck,95,141.62,Poland,2021-08-01,Senior,Medium
326,Neils Pomfrett,100,779.69,Russia,2022-01-31,Senior,High
327,Prudy Kennon,73,2974.71,Colombia,2024-07-31,Senior,VIP
328,Sherwynd Lever,65,3910.38,Indonesia,2021-11-27,Senior,VIP
329,Suzi Lagen,7,37.09,Portugal,2019-10-28,Teen,Low
330,Quinton Gallyhaock,15,199.76,China,2022-11-08,Teen,Medium
331,Vania Weild,8,526.16,Philippines,2022-06-24,Teen,High
332,Rosemaria Goodrich,10,418.33,Mongolia,2019-06-15,Teen,Medium
333,Diana Greason,68,4697.73,China,2021-01-03,Senior,VIP
334,Etan Bartomieu,98,4476.3,Indonesia,2022-10-20,Senior,VIP
335,Kipp Spiniello,62,4758.14,Ukraine,2019-02-28,Senior,VIP
336,Tamar Dawtry,67,3403.03,Tanzania,2022-07-07,Senior,VIP
337,Hali Kinnear,2,3420.02,Poland,2019-08-15,Teen,VIP
338,Owen Slatcher,17,3866.68,Zambia,2021-09-06,Teen,VIP
339,Ricardo Cicetti,60,3425.84,Kenya,2024-06-13,Senior,VIP
340,Wheeler Huggon,35,4803.3,Croatia,2020-09-24,Young Adult,VIP
341,Winne Leaman,89,370.21,Portugal,2024-10-14,Senior,Medium
342,Jessica Fugere,78,3548.47,Indonesia,2025-01-31,Senior,VIP
343,Rodina Morecomb,3,4663.58,Russia,2020-01-02,Teen,VIP
344,Bent Brummell,33,965.8,Portugal,2020-04-18,Young Adult,High
345,Saidee Quarmby,47,993.79,Albania,2023-03-17,Adult,High
346,Raimundo Bodemeaid,13,983.03,China,2021-09-21,Teen,High
347,Betsy Sima,31,89.54,China,2025-12-05,Young Adult,Low
348,Marc Rignold,47,3249.07,China,2022-05-03,Adult,VIP
349,Tedd Zecchinelli,7,739.81,Georgia,2020-01-08,Teen,High
350,Brooks Jakuszewski,24,2773.34,Japan,2019-11-17,Young Adult,VIP
351,Hildy Jobern,86,2514.13,China,2024-08-23,Senior,VIP
352,Madlin Pulley,55,115.15,China,2021-12-17,Senior,Medium
353,Ches Martino,82,399.75,Italy,2025-11-04,Senior,Medium
354,Seline Dampier,24,1794.67,Burkina Faso,2024-10-10,Young Adult,VIP
355,Davidson Peakman,88,3536.74,Czech Republic,2022-10-22,Senior,VIP
356,Ruthy Futcher,87,3225.04,Russia,2024-06-15,Senior,VIP
357,Ossie Rossant,72,4785.81,Czech Republic,2025-09-13,Senior,VIP
358,Ramonda Droghan,44,3300.74,United States,2024-08-18,Adult,VIP
359,Bendick Munroe,24,3883.78,China,2021-05-26,Young Adult,VIP
360,Garret Aspland,53,4494.44,Indonesia,2023-06-21,Senior,VIP
361,Beverie Bigrigg,25,2041.14,Canada,2019-07-01,Young Adult,VIP
362,Urson Dace,89,4340.26,China,2024-08-14,Senior,VIP
363,Kippar Galley,5,1545.1,Indonesia,2025-11-07,Teen,VIP
364,Ranee Cammock,74,4662.98,Kazakhstan,2023-12-16,Senior,VIP
365,Coral Knath,91,962.97,South Korea,2019-04-16,Senior,High
366,Ced Jellard,38,3698.3,Ukraine,2020-11-03,Adult,VIP
367,Leslie Petasch,77,3970.81,Paraguay,2022-01-20,Senior,VIP
368,Chucho Notley,33,4319.48,Poland,2025-06-22,Young Adult,VIP
